name,domain,engine,developer,reachable,status,has_inventory,requires_js,listing_hits,tera_token,property_pages,api_candidates,sitemap,robots_disallowed,error
CASA VALOR,casavalor.com.uy,wordpress,,true,500,false,false,0,,,https://casavalor.com.uy/wp-json/wp/v2/,https://casavalor.com.uy/sitemap.xml,false,
EDUARDO RODRIGO & ASOCIADOS NEGOCIOS INMOBILIARIOS,eduardorodrigo.com.uy,wordpress,,true,200,true,false,12,,https://eduardorodrigo.com.uy/ https://eduardorodrigo.com.uy/propiedades/,https://eduardorodrigo.com.uy/wp-json/wp/v2/,https://eduardorodrigo.com.uy/sitemap.xml,false,
FARO GRUPO INMOBILIARIO,faro.com.uy,wordpress,,true,200,true,false,5,,https://www.faro.com.uy/,https://fonts.googleapis.com https://www.faro.com.uy/wp-json/wp/v2/,https://www.faro.com.uy/sitemap.xml https://www.faro.com.uy/sitemap_index.xml,false,
FOCUS  PROPERTIES URUGUAY,focusproperties.com.uy,wordpress,,true,200,false,false,0,,,https://focuspropertiesuruguay.com/wp-json/wp/v2/ https://fonts.googleapis.com,https://focuspropertiesuruguay.com/sitemap.xml,false,
GREEN PARK URUGUAY – GPUy,greenparkuruguay.com,wordpress,,true,200,false,false,0,,,https://fonts.googleapis.com https://greenparkuruguay.com/wp-json/wp/v2/,https://greenparkuruguay.com/sitemap.xml https://greenparkuruguay.com/sitemap_index.xml,false,
GRUPO ESTENZA REAL ESTATE & LIFESTYLE,grupoestenza.com,wordpress,,true,200,true,false,23,,https://grupoestenza.com/ https://grupoestenza.com/propiedades/,https://fonts.googleapis.com https://grupoestenza.com/wp-json/wp/v2/,https://grupoestenza.com/sitemap.xml https://grupoestenza.com/sitemap_index.xml,false,
INVERGROUP,invergroup.com.uy,wordpress,,true,200,false,false,0,,,https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/manrope/v19/xn7gYHE41ni1AdIRggexSvfedN4.woff2 https://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyC0IT4ttDfA.woff2 https://www.invergroup.com.uy/_api/one-app-session-web/v3/businesses https://www.invergroup.com.uy/_api/v1/access-tokens https://www.invergroup.com.uy/_api/v2/dynamicmodel https://www.invergroup.com.uy/api/ https://www.invergroup.com.uy/wp-json/wp/v2/,https://www.invergroup.com.uy/sitemap.xml,false,
LOCATION SRL,location.uy,wordpress,,true,200,true,false,4,,https://www.location.uy/,https://fonts.googleapis.com https://www.location.uy/wp-json/wp/v2/,https://www.location.uy/sitemap.xml https://www.location.uy/sitemap_index.xml,false,
URUHAUS,uruhaus.com,wordpress,,true,200,false,false,0,,,https://uruhaus.com/wp-json/wp/v2/,https://uruhaus.com/sitemap.xml,false,
VAN BEVERN PROPIEDADES,van-bevern.com,wordpress,,true,200,false,false,0,,,https://fonts.googleapis.com/css2?family= https://www.google.com/recaptcha/api.js?render=explicit&#038;onload=houzezReCaptchaLoad&%23038;ver=4.2.4 https://www.van-bevern.com/wp-json/wp/v2/,https://www.van-bevern.com/sitemap.xml https://www.van-bevern.com/sitemap_index.xml,false,
WMW Weiss Mora Weiss,wsw.com.uy,wordpress,,true,200,false,false,0,,,https://www.puntadeleste.net/wp-json/wp/v2/,https://www.puntadeleste.net/sitemap.xml,false,
